Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Female,60,1,350000,Chit fund,7000,No one,Mobile applications,Wealth generation,9,7
Female,47,0,180000,Chit fund,0,Self,Brokers,Construction of own House / Buying a new Car,3,1
Female,50,0,600000,Mutual Funds,7000,Agents/Investment brokers,Family members/Friends,Construction of own House / Buying a new Car,4,1
Female,54,1,80,"Stocks - Intraday, long term",3000,Through Bank,News articles / Current affairs,Children's education/ Marriage,15,7
Female,43,0,360000,Not prepared ,7000,Self ,Family members/Friends,Personal Savings,21,7
Male,38,1,80,Crypto currency,5000,Family member,Brokers,All the above ,10,4
Male,32,1,384000,Marketing ,5000,Social media/ Articles,Social media/ Articles,Personal Savings,10,1
Male,59,1,350000,Mutual Funds,1000,Friends,Investors in bank,Regarding your / Your Siblings marriage,3,6
Female,60,0,200000,Not prepared ,3000,Self Interest ,Mobile applications,Children's education/ Marriage,20,7
Female,37,0,80,"Stocks - Intraday, long term",2000,Self motivation ,Investors in bank,Wealth generation,7,3
Male,50,1,180000,Chit fund,1000,Self ,Mobile applications,Personal Savings,25,0
Male,36,1,350000,Mutual Funds,1000,Schemes,Books,Regarding your / Your Siblings marriage,4,4
Male,36,0,280000,Mutual Funds,1000,Schemes,Brokers,Construction of own House / Buying a new Car,4,2
Male,34,1,200000,Chit fund,2000,Friends,Family members/Friends,Tax saving,15,6
Male,42,0,120000,Crypto currency,5000,Social media/ Articles,News articles / Current affairs,All the above ,7,8
Female,32,1,350000,Crypto currency,5000,Friends,Books,Tax saving,8,0
Male,49,1,600000,Marketing ,0,Family member,Social media/ Articles,Regarding your / Your Siblings marriage,4,2
Male,51,1,600000,Not prepared ,5000,Self motivation ,Social media/ Articles,Tax saving,1,2
Female,55,1,120000,Mutual Funds,3000,Agents/Investment brokers,Social media/ Articles,Wealth generation,21,3
Male,59,0,150000,Marketing ,2000,Family member,Investors in bank,Tax saving,2,5
Female,50,0,400000,Not prepared ,2000,Self Interest ,Social media/ Articles,Children's education/ Marriage,20,3
Female,18,1,120000,Gold / Any other Materialistic investment,7000,Self motivation ,News articles / Current affairs,Planning for finacial freedom after Retirement,15,1
Female,29,0,600000,Crypto currency,7000,No one,Investors in bank,Wealth generation,9,2
Female,47,1,500000,"Stocks - Intraday, long term",5000,Agents/Investment brokers,News articles / Current affairs,Tax saving,9,1
Male,53,0,384000,"Real estate, Bonds",3000,Friends,Mobile applications,Children's education/ Marriage,1,2
Male,43,0,80,"Real estate, Bonds",7000,Friends,News articles / Current affairs,Regarding your / Your Siblings marriage,6,6
Male,54,1,200000,"Real estate, Bonds",1000,Family member,Family members/Friends,Tax saving,6,1
Female,37,0,180000,Gold / Any other Materialistic investment,0,Through Bank,Investors in bank,Regarding your / Your Siblings marriage,20,1
Male,51,1,0,"Stocks - Intraday, long term",10000,Self ,Mobile applications,Construction of own House / Buying a new Car,2,4
Male,43,1,600000,"Stocks - Intraday, long term",2000,No one,Mobile applications,Wealth generation,9,6
Female,26,0,80,"Stocks - Intraday, long term",5000,Self Interest ,Mobile applications,Wealth generation,25,7
Female,34,0,180000,"Real estate, Bonds",7000,Through Bank,Family members/Friends,All the above ,10,2
Female,20,1,350000,Gold / Any other Materialistic investment,0,No one,News articles / Current affairs,Personal Savings,9,5
Male,21,1,360000,Mutual Funds,0,Self Interest ,News articles / Current affairs,Regarding your / Your Siblings marriage,3,8
Female,40,0,200000,Mutual Funds,5000,Self motivation ,Investors in bank,Regarding your / Your Siblings marriage,25,8
Female,57,1,280000,"Real estate, Bonds",10000,No one,Family members/Friends,Personal Savings,4,1
Male,38,1,400000,Gold / Any other Materialistic investment,2000,Self,Investors in bank,Regarding your / Your Siblings marriage,25,0
Female,40,1,80,Crypto currency,7000,No one,Books,Tax saving,10,0
Female,50,0,120000,Crypto currency,10000,Family member,Social media/ Articles,Tax saving,9,4
Male,20,1,500000,"Banking - RD, FD",5000,Self motivation ,Family members/Friends,Planning for finacial freedom after Retirement,5,3
Female,45,1,300000,Not prepared ,7000,Self Interest ,Brokers,Tax saving,20,8
Female,33,0,80,"Stocks - Intraday, long term",5000,No one,News articles / Current affairs,Regarding your / Your Siblings marriage,15,7
Male,35,1,500000,Gold / Any other Materialistic investment,0,Through Bank,Books,Regarding your / Your Siblings marriage,5,2
Male,53,0,300000,Crypto currency,7000,Self,Books,All the above ,1,8
Female,43,0,260000,Marketing ,2000,No one,Brokers,Tax saving,3,0
Male,41,1,260000,"Stocks - Intraday, long term",1000,Self Interest ,Social media/ Articles,Wealth generation,10,2
Male,53,0,260000,Mutual Funds,7000,Agents/Investment brokers,Social media/ Articles,Tax saving,5,5
Female,52,1,500000,Chit fund,7000,Self,Social media/ Articles,Children's education/ Marriage,20,6
Female,32,1,500000,Chit fund,10000,Self motivation ,Social media/ Articles,Wealth generation,10,6
Male,31,1,500000,Not prepared ,3000,No one,Social media/ Articles,Children's education/ Marriage,4,0
Male,24,0,360000,"Real estate, Bonds",2000,Schemes,Brokers,All the above ,4,3
Female,28,0,200000,"Banking - RD, FD",0,Through Bank,Social media/ Articles,Personal Savings,8,5
Male,33,1,360000,Crypto currency,5000,Social media/ Articles,Social media/ Articles,Regarding your / Your Siblings marriage,10,7
Male,48,1,120000,Mutual Funds,1000,Family member,Brokers,Personal Savings,10,1
Female,52,1,280000,Gold / Any other Materialistic investment,7000,Friends,News articles / Current affairs,Tax saving,5,1
Female,57,0,120000,Not prepared ,7000,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,8,6
Male,46,1,400000,Marketing ,3000,Self Interest ,Family members/Friends,All the above ,15,8
Female,22,1,384000,Gold / Any other Materialistic investment,2000,Social media/ Articles,Books,Wealth generation,2,5
Female,20,1,250000,Mutual Funds,10000,Self,Brokers,Wealth generation,10,6
Female,57,1,300000,"Stocks - Intraday, long term",3000,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,25,7
Female,56,1,150000,Gold / Any other Materialistic investment,0,Schemes,Books,All the above ,7,0
Female,41,0,384000,Marketing ,2000,Self Interest ,Brokers,Children's education/ Marriage,25,7
Male,58,0,400000,Mutual Funds,10000,No one,Investors in bank,Construction of own House / Buying a new Car,6,1
Male,60,1,250000,"Real estate, Bonds",0,Agents/Investment brokers,Investors in bank,Regarding your / Your Siblings marriage,2,0
Male,18,1,150000,Crypto currency,10000,Self Interest ,Investors in bank,All the above ,10,0
Male,40,1,0,Chit fund,0,Self ,Investors in bank,All the above ,9,6
Male,46,0,120000,Marketing ,5000,Self motivation ,News articles / Current affairs,Tax saving,15,0
Male,48,1,600000,"Banking - RD, FD",7000,Self ,Brokers,Wealth generation,9,5
Female,32,0,80,Not prepared ,0,No one,News articles / Current affairs,Personal Savings,21,5
Male,37,0,600000,Crypto currency,3000,Self,News articles / Current affairs,Wealth generation,1,6
Female,58,1,384000,Not prepared ,5000,Agents/Investment brokers,Books,Regarding your / Your Siblings marriage,3,8
Male,37,0,0,Crypto currency,3000,Self motivation ,Books,Wealth generation,9,3
Female,52,1,80,Crypto currency,5000,Self motivation ,Brokers,Tax saving,9,7
Male,37,0,600000,Crypto currency,2000,Agents/Investment brokers,Investors in bank,All the above ,9,3
Male,55,0,180000,Not prepared ,1000,Self ,Social media/ Articles,Children's education/ Marriage,2,1
Female,26,0,150000,"Real estate, Bonds",1000,Schemes,Social media/ Articles,Planning for finacial freedom after Retirement,2,8
Female,51,0,300000,Not prepared ,10000,Schemes,Family members/Friends,Construction of own House / Buying a new Car,4,5
Female,45,0,120000,Not prepared ,5000,Self Interest ,Investors in bank,Regarding your / Your Siblings marriage,10,5
Male,58,1,350000,Not prepared ,5000,Self motivation ,Mobile applications,Personal Savings,2,4
Female,60,1,350000,Not prepared ,5000,Agents/Investment brokers,Family members/Friends,All the above ,3,8
Female,47,1,600000,"Real estate, Bonds",0,Agents/Investment brokers,News articles / Current affairs,All the above ,9,7
Female,27,0,300000,"Banking - RD, FD",0,Self Interest ,News articles / Current affairs,Personal Savings,20,3
Male,60,1,500000,Mutual Funds,0,Self ,Social media/ Articles,Tax saving,21,7
Female,23,1,400000,Marketing ,5000,Social media/ Articles,News articles / Current affairs,Regarding your / Your Siblings marriage,9,8
Female,38,1,120000,"Real estate, Bonds",10000,Self Interest ,Books,Tax saving,6,5
Female,47,1,500000,"Real estate, Bonds",0,Agents/Investment brokers,Investors in bank,Regarding your / Your Siblings marriage,8,7
Male,42,1,600000,Mutual Funds,0,No one,Books,Wealth generation,21,2
Female,37,0,80,Crypto currency,2000,Social media/ Articles,Investors in bank,Children's education/ Marriage,5,7
Female,45,0,280000,Crypto currency,7000,Schemes,Brokers,Tax saving,21,6
Male,30,1,384000,Not prepared ,3000,Through Bank,Investors in bank,Regarding your / Your Siblings marriage,20,1
Male,30,0,384000,Gold / Any other Materialistic investment,2000,Schemes,Family members/Friends,Planning for finacial freedom after Retirement,21,2
Male,58,1,80,"Real estate, Bonds",7000,Social media/ Articles,News articles / Current affairs,Wealth generation,15,5
Female,38,0,300000,Gold / Any other Materialistic investment,7000,Self ,Social media/ Articles,All the above ,10,7
Male,28,0,500000,Mutual Funds,10000,Schemes,Books,All the above ,9,0
Female,30,1,500000,"Real estate, Bonds",2000,Self ,Mobile applications,Children's education/ Marriage,21,8
Male,20,0,260000,Crypto currency,7000,Self ,News articles / Current affairs,Wealth generation,7,1
Female,25,0,350000,Crypto currency,10000,Friends,Brokers,Construction of own House / Buying a new Car,1,2
Male,22,1,350000,Marketing ,2000,Schemes,Books,Construction of own House / Buying a new Car,7,2
Male,57,1,180000,Crypto currency,7000,Family member,Family members/Friends,Regarding your / Your Siblings marriage,9,2
Female,25,0,180000,Not prepared ,3000,No one,Investors in bank,Tax saving,2,8
Female,60,0,120000,Crypto currency,10000,Family member,Family members/Friends,Planning for finacial freedom after Retirement,21,8
Female,24,1,600000,Crypto currency,3000,Agents/Investment brokers,Family members/Friends,Personal Savings,7,6
Male,27,0,384000,Mutual Funds,5000,Self Interest ,Family members/Friends,Personal Savings,5,2
Female,22,0,500000,"Real estate, Bonds",3000,Through Bank,Social media/ Articles,Regarding your / Your Siblings marriage,7,3
Male,23,0,300000,Crypto currency,0,No one,News articles / Current affairs,Children's education/ Marriage,15,8
Female,48,1,600000,"Real estate, Bonds",10000,Self,Social media/ Articles,Wealth generation,3,5
Male,26,0,80,Chit fund,7000,Self motivation ,Social media/ Articles,Regarding your / Your Siblings marriage,21,6
Male,33,1,80,"Banking - RD, FD",1000,Self,Mobile applications,Children's education/ Marriage,25,3
Female,56,0,400000,Chit fund,0,No one,Family members/Friends,Tax saving,20,2
Male,41,0,180000,Chit fund,7000,Social media/ Articles,Brokers,Planning for finacial freedom after Retirement,10,5
Female,40,0,200000,"Banking - RD, FD",0,Self ,Social media/ Articles,Planning for finacial freedom after Retirement,7,8
Female,37,1,180000,Gold / Any other Materialistic investment,1000,Self,Brokers,Regarding your / Your Siblings marriage,25,8
Female,26,0,350000,Gold / Any other Materialistic investment,5000,Self,News articles / Current affairs,Regarding your / Your Siblings marriage,21,1
Female,53,1,280000,Mutual Funds,0,Family member,News articles / Current affairs,All the above ,2,0
Male,57,0,200000,Marketing ,5000,Agents/Investment brokers,Brokers,Construction of own House / Buying a new Car,21,2
Female,28,0,0,Chit fund,3000,Through Bank,Mobile applications,Construction of own House / Buying a new Car,15,5
Male,25,0,500000,Chit fund,5000,Self,Brokers,Construction of own House / Buying a new Car,9,5
Male,20,0,600000,Mutual Funds,5000,Schemes,Social media/ Articles,Regarding your / Your Siblings marriage,3,6
Female,38,0,384000,Mutual Funds,3000,Self ,News articles / Current affairs,Personal Savings,3,0
Female,56,1,150000,"Stocks - Intraday, long term",2000,Self ,Brokers,Planning for finacial freedom after Retirement,1,6
Male,60,1,250000,"Real estate, Bonds",7000,Self,Family members/Friends,All the above ,21,0
Female,46,1,500000,"Real estate, Bonds",1000,Family member,News articles / Current affairs,Planning for finacial freedom after Retirement,4,5
Male,22,0,360000,"Real estate, Bonds",0,Family member,Family members/Friends,Construction of own House / Buying a new Car,10,0
Female,49,1,360000,Mutual Funds,1000,Self ,Brokers,Regarding your / Your Siblings marriage,3,7
Female,57,0,0,Gold / Any other Materialistic investment,5000,Self ,Mobile applications,Tax saving,15,0
Male,33,0,260000,Crypto currency,2000,Self motivation ,News articles / Current affairs,Planning for finacial freedom after Retirement,21,0
Male,27,1,600000,"Stocks - Intraday, long term",10000,No one,Social media/ Articles,Regarding your / Your Siblings marriage,20,8
Male,60,1,350000,"Real estate, Bonds",3000,Friends,Mobile applications,Tax saving,8,6
Male,45,0,180000,"Banking - RD, FD",7000,Self Interest ,Family members/Friends,Wealth generation,21,3
Male,58,0,180000,Crypto currency,0,Social media/ Articles,Social media/ Articles,Personal Savings,4,4
Female,33,0,200000,"Stocks - Intraday, long term",2000,Through Bank,Books,All the above ,5,7
Female,45,0,250000,Marketing ,7000,Self,News articles / Current affairs,Construction of own House / Buying a new Car,20,2
Female,33,0,384000,Crypto currency,0,Social media/ Articles,Social media/ Articles,Wealth generation,8,4
Female,57,1,250000,Mutual Funds,7000,Social media/ Articles,Family members/Friends,Wealth generation,6,6
Male,19,1,600000,"Stocks - Intraday, long term",2000,Social media/ Articles,Mobile applications,Wealth generation,2,7
Male,20,1,280000,Not prepared ,5000,Through Bank,Mobile applications,Tax saving,21,3
Female,49,0,384000,Gold / Any other Materialistic investment,7000,Social media/ Articles,Brokers,Construction of own House / Buying a new Car,6,1
Male,23,1,300000,"Banking - RD, FD",1000,Agents/Investment brokers,News articles / Current affairs,Regarding your / Your Siblings marriage,21,4
Male,43,0,250000,Mutual Funds,1000,Agents/Investment brokers,Social media/ Articles,Construction of own House / Buying a new Car,25,0
Male,42,0,260000,"Stocks - Intraday, long term",7000,Agents/Investment brokers,Brokers,Personal Savings,2,4
Female,56,0,0,"Stocks - Intraday, long term",7000,Self Interest ,Mobile applications,Children's education/ Marriage,4,1
Female,60,0,280000,Crypto currency,7000,Self,Mobile applications,Children's education/ Marriage,25,4
Male,45,0,350000,"Real estate, Bonds",3000,Self,Investors in bank,Tax saving,21,7
Male,54,1,600000,Mutual Funds,2000,Self Interest ,Mobile applications,All the above ,20,6
Female,37,0,600000,Chit fund,1000,No one,Investors in bank,Personal Savings,1,1
Male,34,1,280000,Chit fund,2000,Self ,Brokers,All the above ,15,1
Male,31,1,180000,"Banking - RD, FD",2000,Schemes,Family members/Friends,Planning for finacial freedom after Retirement,20,2
Female,51,0,180000,Chit fund,10000,Self Interest ,Mobile applications,Tax saving,20,0
Female,35,1,180000,Gold / Any other Materialistic investment,1000,Self,Brokers,Wealth generation,7,5
Female,30,1,80,Mutual Funds,1000,Schemes,News articles / Current affairs,Construction of own House / Buying a new Car,9,6
Male,52,0,0,Not prepared ,7000,No one,News articles / Current affairs,Children's education/ Marriage,6,0
Male,40,1,150000,Chit fund,5000,Agents/Investment brokers,Social media/ Articles,Tax saving,9,8
Male,46,0,600000,Marketing ,1000,Through Bank,Social media/ Articles,Children's education/ Marriage,25,8
Male,55,1,0,Not prepared ,10000,Family member,News articles / Current affairs,All the above ,2,0
Male,40,1,150000,Marketing ,10000,Self,Family members/Friends,Personal Savings,5,1
Male,50,1,180000,Mutual Funds,3000,Friends,Books,Children's education/ Marriage,9,4
Male,22,1,384000,"Banking - RD, FD",7000,Friends,Mobile applications,Children's education/ Marriage,9,3
Male,28,0,120000,"Stocks - Intraday, long term",7000,Schemes,Books,All the above ,1,6
Female,41,1,384000,Crypto currency,10000,Friends,Mobile applications,Children's education/ Marriage,1,1
Female,41,1,80,"Real estate, Bonds",3000,Family member,Mobile applications,Wealth generation,1,5
Male,47,0,500000,Marketing ,7000,Family member,Social media/ Articles,Regarding your / Your Siblings marriage,7,6
Female,19,1,400000,Chit fund,2000,Schemes,Social media/ Articles,Children's education/ Marriage,2,0
Female,33,0,300000,Not prepared ,2000,Self ,Brokers,Planning for finacial freedom after Retirement,4,2
Male,39,1,350000,Chit fund,5000,Self Interest ,Mobile applications,Personal Savings,8,5
Female,56,1,180000,Crypto currency,7000,Family member,Brokers,Construction of own House / Buying a new Car,1,4
Female,45,1,280000,"Real estate, Bonds",0,Self Interest ,Social media/ Articles,Construction of own House / Buying a new Car,8,5
Male,28,1,280000,"Stocks - Intraday, long term",10000,Family member,Family members/Friends,Wealth generation,1,1
Male,51,1,80,Mutual Funds,3000,No one,Family members/Friends,All the above ,20,6
Female,33,0,200000,"Stocks - Intraday, long term",0,Self ,Social media/ Articles,Construction of own House / Buying a new Car,7,8
Female,34,0,350000,"Banking - RD, FD",5000,No one,Mobile applications,All the above ,7,8
Male,52,1,384000,Crypto currency,1000,Social media/ Articles,Investors in bank,Children's education/ Marriage,2,3
Male,57,1,250000,"Real estate, Bonds",2000,Self,Brokers,Planning for finacial freedom after Retirement,4,2
Male,32,1,360000,"Real estate, Bonds",1000,Friends,Investors in bank,All the above ,21,4
Female,32,1,120000,Mutual Funds,5000,Self,News articles / Current affairs,All the above ,4,7
Male,31,0,360000,"Real estate, Bonds",5000,Agents/Investment brokers,Social media/ Articles,Tax saving,10,2
Female,25,0,300000,Not prepared ,7000,Self Interest ,Investors in bank,Wealth generation,4,2
Female,48,0,300000,Mutual Funds,7000,Agents/Investment brokers,Brokers,Wealth generation,9,6
Female,20,0,0,Crypto currency,1000,Social media/ Articles,News articles / Current affairs,All the above ,8,6
Male,22,0,400000,Mutual Funds,10000,Self Interest ,Family members/Friends,Tax saving,9,1
Male,46,1,500000,Chit fund,3000,Self Interest ,Books,All the above ,5,1
Male,20,1,150000,Not prepared ,7000,Schemes,Books,Construction of own House / Buying a new Car,4,2
Female,32,1,120000,"Real estate, Bonds",5000,Self motivation ,Books,Wealth generation,1,7
Female,56,1,400000,Gold / Any other Materialistic investment,1000,Friends,Brokers,Planning for finacial freedom after Retirement,7,2
Male,39,1,500000,Crypto currency,5000,Self Interest ,Mobile applications,Wealth generation,9,5
Female,39,1,260000,Not prepared ,0,Agents/Investment brokers,Mobile applications,All the above ,8,6
Male,52,1,200000,"Real estate, Bonds",7000,Agents/Investment brokers,Brokers,Tax saving,6,0
Female,18,0,300000,Chit fund,0,Self ,Books,Planning for finacial freedom after Retirement,21,4
Female,43,1,250000,Not prepared ,0,Self Interest ,Books,Wealth generation,1,7
Male,36,1,260000,Crypto currency,10000,Self motivation ,News articles / Current affairs,All the above ,10,6
Female,42,0,80,Mutual Funds,0,Self,Books,Children's education/ Marriage,7,0
Female,30,1,0,"Real estate, Bonds",10000,No one,News articles / Current affairs,Personal Savings,10,3
Male,25,0,0,Not prepared ,1000,Self motivation ,Social media/ Articles,Tax saving,5,4
Male,55,1,260000,Not prepared ,0,Through Bank,Brokers,Regarding your / Your Siblings marriage,2,8
Female,44,1,0,"Banking - RD, FD",7000,No one,Mobile applications,Tax saving,5,7
Female,37,0,350000,Gold / Any other Materialistic investment,0,Through Bank,Social media/ Articles,Wealth generation,4,6
Female,43,0,150000,Marketing ,1000,Family member,Investors in bank,Regarding your / Your Siblings marriage,5,4
Female,35,0,384000,"Stocks - Intraday, long term",5000,Self,Family members/Friends,All the above ,10,3
Male,57,0,300000,Mutual Funds,5000,Social media/ Articles,Family members/Friends,All the above ,6,3
Female,37,1,200000,Not prepared ,3000,Self,Social media/ Articles,Wealth generation,9,2
Male,50,1,500000,Chit fund,3000,Friends,News articles / Current affairs,Wealth generation,2,4
Female,51,1,300000,Chit fund,10000,No one,Social media/ Articles,Planning for finacial freedom after Retirement,25,0
Female,30,1,500000,Crypto currency,1000,Social media/ Articles,Family members/Friends,Planning for finacial freedom after Retirement,9,6
Female,23,1,350000,Marketing ,3000,Friends,Brokers,All the above ,3,1
Female,43,1,180000,"Real estate, Bonds",10000,Schemes,News articles / Current affairs,Wealth generation,8,3
Female,34,1,250000,Crypto currency,2000,Self motivation ,News articles / Current affairs,Tax saving,15,6
Female,20,0,600000,Marketing ,10000,Self ,Brokers,Planning for finacial freedom after Retirement,4,4
Female,57,0,200000,"Stocks - Intraday, long term",10000,Agents/Investment brokers,News articles / Current affairs,All the above ,25,4
Female,33,1,600000,"Banking - RD, FD",10000,Self Interest ,Books,Wealth generation,2,5
Female,34,1,280000,"Stocks - Intraday, long term",7000,Family member,News articles / Current affairs,Wealth generation,3,8
Male,18,1,600000,Chit fund,10000,Social media/ Articles,Investors in bank,Construction of own House / Buying a new Car,2,0
Male,32,0,120000,"Banking - RD, FD",3000,Self,Mobile applications,Regarding your / Your Siblings marriage,21,2
Female,53,0,80,Crypto currency,5000,Through Bank,Social media/ Articles,Children's education/ Marriage,2,7
Male,29,0,360000,Not prepared ,5000,Self Interest ,Investors in bank,All the above ,9,2
Female,52,0,300000,Not prepared ,0,Self Interest ,Brokers,All the above ,10,0
Male,41,1,300000,"Real estate, Bonds",1000,Agents/Investment brokers,Investors in bank,Wealth generation,9,1
Male,39,1,400000,"Banking - RD, FD",5000,Through Bank,Books,All the above ,2,5
Male,52,1,384000,Gold / Any other Materialistic investment,0,Family member,Mobile applications,Tax saving,5,6
Male,58,0,360000,Gold / Any other Materialistic investment,10000,No one,Family members/Friends,Construction of own House / Buying a new Car,5,4
Male,36,1,400000,Crypto currency,0,Agents/Investment brokers,Investors in bank,Personal Savings,4,8
Male,60,1,80,"Banking - RD, FD",10000,Agents/Investment brokers,Family members/Friends,Tax saving,2,2
Female,55,0,260000,"Stocks - Intraday, long term",5000,Through Bank,News articles / Current affairs,Tax saving,8,2
Male,24,1,300000,Crypto currency,3000,Schemes,Books,Regarding your / Your Siblings marriage,9,0
Female,34,1,0,Mutual Funds,5000,Friends,Mobile applications,Planning for finacial freedom after Retirement,6,3
Male,39,0,500000,Crypto currency,1000,Self motivation ,Books,Wealth generation,8,7
Male,39,1,600000,Mutual Funds,1000,Social media/ Articles,Family members/Friends,Personal Savings,21,8
Male,19,0,400000,"Stocks - Intraday, long term",10000,Schemes,Brokers,Tax saving,3,3
Female,44,0,250000,Mutual Funds,7000,Agents/Investment brokers,Brokers,Planning for finacial freedom after Retirement,20,0
Female,45,0,600000,"Banking - RD, FD",2000,Schemes,Books,All the above ,20,3
Male,47,1,120000,Not prepared ,7000,Through Bank,Investors in bank,Planning for finacial freedom after Retirement,5,2
Female,36,1,260000,Marketing ,1000,No one,News articles / Current affairs,Wealth generation,10,0
Female,38,1,120000,Marketing ,7000,Agents/Investment brokers,Books,Planning for finacial freedom after Retirement,25,3
Female,18,1,384000,Mutual Funds,7000,Self motivation ,Brokers,All the above ,8,0
Male,34,0,384000,"Real estate, Bonds",10000,Self Interest ,Brokers,Children's education/ Marriage,1,7
Female,21,1,260000,Not prepared ,3000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,21,5
Male,45,1,150000,Marketing ,0,Self ,Social media/ Articles,Personal Savings,21,6
Male,54,1,280000,Gold / Any other Materialistic investment,2000,Self Interest ,Social media/ Articles,Planning for finacial freedom after Retirement,3,0
Female,53,0,600000,Marketing ,0,Social media/ Articles,Social media/ Articles,All the above ,4,2
Male,37,0,250000,Not prepared ,7000,Social media/ Articles,Investors in bank,Planning for finacial freedom after Retirement,7,1
Male,41,0,180000,"Stocks - Intraday, long term",7000,Agents/Investment brokers,Social media/ Articles,Children's education/ Marriage,2,8
Male,34,1,350000,"Real estate, Bonds",10000,Schemes,Social media/ Articles,Construction of own House / Buying a new Car,9,2
Male,20,0,200000,Mutual Funds,7000,Friends,Investors in bank,Planning for finacial freedom after Retirement,15,1
Male,38,1,200000,Chit fund,10000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,25,8
Male,18,1,250000,Chit fund,3000,Self motivation ,Mobile applications,Planning for finacial freedom after Retirement,15,8
Male,23,0,200000,Gold / Any other Materialistic investment,10000,Friends,Books,Regarding your / Your Siblings marriage,4,4
Male,37,1,300000,Marketing ,5000,Through Bank,News articles / Current affairs,Construction of own House / Buying a new Car,21,4
Male,40,0,250000,Chit fund,10000,Agents/Investment brokers,Family members/Friends,Personal Savings,21,0
Male,57,0,150000,Not prepared ,5000,Agents/Investment brokers,Investors in bank,Tax saving,9,4
Female,58,0,260000,Crypto currency,1000,Through Bank,Books,Tax saving,20,3
Male,42,1,260000,"Real estate, Bonds",1000,Self Interest ,Brokers,Children's education/ Marriage,5,7
Male,23,1,500000,"Banking - RD, FD",5000,Agents/Investment brokers,Investors in bank,Construction of own House / Buying a new Car,2,5
Female,27,1,360000,"Stocks - Intraday, long term",1000,Self Interest ,Investors in bank,Personal Savings,5,6
Male,59,1,260000,Marketing ,7000,Social media/ Articles,Brokers,Tax saving,6,4
Female,47,0,300000,"Real estate, Bonds",0,Self Interest ,Family members/Friends,Children's education/ Marriage,9,5
Female,36,0,384000,Crypto currency,5000,Self,Family members/Friends,Tax saving,21,2
Male,56,1,150000,Crypto currency,7000,Agents/Investment brokers,Social media/ Articles,Tax saving,5,4
Female,51,0,120000,Crypto currency,5000,Self,Brokers,Tax saving,21,4
Female,28,0,500000,Gold / Any other Materialistic investment,7000,Self ,Books,Planning for finacial freedom after Retirement,5,3
Female,50,1,150000,Mutual Funds,2000,Friends,Social media/ Articles,Planning for finacial freedom after Retirement,4,8
Female,33,1,360000,Crypto currency,5000,No one,Social media/ Articles,Personal Savings,5,3
Male,58,1,0,Chit fund,10000,Friends,Books,Tax saving,15,6
Female,33,1,0,"Real estate, Bonds",5000,Friends,Investors in bank,Personal Savings,8,3
Male,22,0,300000,Chit fund,3000,Schemes,Investors in bank,Regarding your / Your Siblings marriage,9,1
Male,42,1,384000,Mutual Funds,0,Self Interest ,Family members/Friends,Personal Savings,10,4
Male,19,0,150000,Chit fund,10000,Agents/Investment brokers,Investors in bank,Children's education/ Marriage,1,6
Female,35,1,150000,"Banking - RD, FD",5000,Friends,Mobile applications,Children's education/ Marriage,1,2
Male,38,0,360000,"Banking - RD, FD",1000,Self Interest ,Social media/ Articles,Personal Savings,5,5
Female,51,0,350000,Marketing ,3000,Social media/ Articles,Investors in bank,Children's education/ Marriage,21,4
Male,47,1,350000,Gold / Any other Materialistic investment,2000,Self,Investors in bank,Children's education/ Marriage,15,8
Female,27,1,350000,"Real estate, Bonds",7000,Schemes,Family members/Friends,Children's education/ Marriage,4,2
Female,49,0,0,"Stocks - Intraday, long term",1000,Self,Mobile applications,All the above ,25,5
Male,53,0,300000,Marketing ,5000,Schemes,Mobile applications,Regarding your / Your Siblings marriage,1,6
Male,22,0,384000,"Banking - RD, FD",3000,No one,Social media/ Articles,Tax saving,15,4
Female,19,0,400000,Marketing ,1000,Self ,Mobile applications,All the above ,6,8
Female,23,1,0,"Banking - RD, FD",10000,Through Bank,Social media/ Articles,Children's education/ Marriage,4,8
Male,59,1,360000,Not prepared ,2000,Schemes,Social media/ Articles,Personal Savings,20,2
Male,40,0,250000,Gold / Any other Materialistic investment,2000,Through Bank,Mobile applications,Wealth generation,9,2
Female,39,1,400000,Chit fund,10000,Through Bank,News articles / Current affairs,Tax saving,20,0
Female,29,0,120000,Crypto currency,0,No one,Investors in bank,Planning for finacial freedom after Retirement,25,0
Male,49,1,80,"Banking - RD, FD",1000,Social media/ Articles,News articles / Current affairs,Wealth generation,21,6
Male,40,0,200000,Not prepared ,1000,Agents/Investment brokers,Brokers,Planning for finacial freedom after Retirement,25,1
Male,55,1,260000,Not prepared ,5000,Social media/ Articles,News articles / Current affairs,Planning for finacial freedom after Retirement,4,0
Female,34,0,500000,"Real estate, Bonds",0,Social media/ Articles,Social media/ Articles,Personal Savings,1,5
Female,19,0,80,Crypto currency,0,Through Bank,Social media/ Articles,All the above ,5,2
Female,23,1,260000,"Banking - RD, FD",2000,Self motivation ,Mobile applications,Construction of own House / Buying a new Car,6,7
